name,year,month,boxfile,director,actor,genre,score
新步步惊心,2015,08,32.214,宋迪,"陈意涵,窦骁,杨祐宁,宋伊人,于波","爱情,奇幻,古装",6.0
土豪520,2015,05,30.138,林爱华,"吴镇宇,姚星彤,马天宇,李菁,周韦彤","喜剧,爱情",5.8
兔侠之青黎传说,2015,02,29.353,"马元,董大可","黄磊,杨子姗,何云伟,王劲松,王玥波","动画,家庭,动作",8.3
小飞侠：幻梦启航,2015,10,28.488000000000003,乔·赖特,"休·杰克曼,加内特·赫德兰,鲁妮·玛拉,莱维·米勒,阿曼达·塞弗里德","喜剧,冒险,奇幻",8.1
一万年以后,2015,03,27.438000000000002,易立,"珠玛,亚拉亚姆,王翀,滕梦乔,贾璐","动画,动作,奇幻",6.5
封门诡影,2015,03,25.634,王孟圆,"葛天,张铎,刘一莹,隋咏良,钱思曈","惊悚,恐怖,悬疑",4.5
功夫3D,2015,01,25.434,周星驰,"周星驰,黄圣依,元华,元秋,梁小龙","喜剧,动作,犯罪",9.3
龙在哪里？,2015,10,24.616999999999997,"胡升忠,谭秋薇","章子怡,王力宏,光良,梁静茹,江美琪","喜剧,动画,冒险",8.6
破坏者,2015,04,24.486,大卫·阿耶,"阿诺德·施瓦辛格,萨姆·沃辛顿,米瑞·伊诺丝,马克斯·马蒂尼,奥莉维亚·威廉姆斯","动作,悬疑,冒险",6.6
暴走神探,2015,01,24.406999999999996,罗卓瑶,"阮经天,周冬雨,杨子姗,杨洋,高捷","爱情,动作,悬疑",5.1
白幽灵传奇之绝命逃亡,2015,04,24.294,尼克·鲍威尔,"海登·克里斯滕森,尼古拉斯·凯奇,刘亦菲,安志杰,苏嘉航","动作,古装",4.8
我的男友和狗,2015,06,24.198,陈慧翎,"何润东,张钧甯,里拉,丁春诚,马思纯",爱情,7.5
三只小猪与神灯,2015,06,23.824,刘炜,"李晔,王晓彤,洪海天,王燕华,符冲","动画,喜剧,冒险",8.3
贵族大盗,2015,04,22.796,大卫·凯普,"约翰尼·德普,格温妮斯·帕特洛,伊万·麦克格雷格,奥立薇娅·玛恩,保罗·贝坦尼","喜剧,动作",6.7
一个勺子,2015,11,22.495,陈建斌,"陈建斌,蒋勤勤,王学兵,金世佳,王旭峰","剧情,喜剧",7.7
可爱的你,2015,03,22.112,关信辉,"杨千嬅,古天乐,何涴潆,傅舜盈,王诗雅",剧情,9.0
张震讲故事之鬼迷心窍,2015,07,20.933000000000003,徐正超,"张翰,张俪,李心艾,张皓然,朱晓辉","悬疑,惊悚",4.4
冲锋车,2015,04,20.919,刘浩良,"吴镇宇,任达华,古巨基,郑浩南,谭耀文","动作,犯罪",7.3
闯堂兔2：疯狂马戏团,2015,01,20.892,曾宪林,"小连杀,谢昀杉,郝翔海,王祺,朱蓉蓉","动画,喜剧,冒险",7.5
谍·莲花,2015,01,20.55,朱青阳,"鲁诺,潘阳,高丽雯,陈月末,巴图","剧情,悬疑,战争",5.0
再次出发之纽约遇见你,2015,06,20.27,约翰·卡尼,"凯拉·奈特莉,马克·鲁法洛,亚当·莱文,海莉·斯坦菲尔德,詹姆斯·柯登","喜剧,爱情,音乐",9.2
极速风流,2015,12,20.011,朗·霍华德,"克里斯·海姆斯沃斯,丹尼尔·布鲁尔,奥利维亚·王尔德,亚历山德拉·玛丽亚·拉娜,皮耶尔弗兰切斯科·法维诺","动作,运动,传记",8.4
重生爱人,2015,05,19.887999999999998,曹大伟,"王丽坤,金范,郑元畅,李程彬,管羽","爱情,悬疑",5.6
北京纽约,2015,03,18.893,李晓雨,"林志玲,刘烨,江疏影,理查德·德克勒克,Peter Davenport","剧情,爱情",4.9
昆塔：盒子总动员,2015,11,18.102999999999998,李炼,"狄菲菲,张云翼,程玉珠,孟祥龙,洪海天","喜剧,动画,冒险",8.0
巴黎假期,2015,07,17.926,阮世生,"古天乐,郭采洁,文咏珊,刘梓妍,方中信","剧情,喜剧,爱情",8.0
美人鱼之海盗来袭,2015,07,17.355,邱浩强,"李思娴,郭亚维,宋磊,申克,安妮","喜剧,动画,冒险",5.9
旋风九日,2015,05,16.898,傅红星,"陈天璇,吉米·卡特,萨日娜,亨利·基辛格,兹比格涅夫·布热津斯基","纪录片,传记,历史",9.0
通灵之六世古宅,2015,07,16.551,彭发,"徐娇,张兆辉,毕秀茹,宋轶,田子田","恐怖,惊悚",4.7
西藏天空,2015,11,16.409000000000002,傅东育,"拉旺罗布,阿旺仁青,索朗卓嘎,杨雪,多布杰","剧情,历史",8.3
魔镜奇缘,2015,09,16.004,郑成峰,"琪琪,王琪,孙科,叶芳,仰洋","动画,冒险,奇幻",6.1
阿里巴巴大盗奇兵,2015,05,15.82,郑成峰,"叶芳,丁妍,孙科,王琪,王耀","喜剧,动画,冒险",6.3
